[program started on Wed Dec 23 03:47:02 2015] 
[command line arguments] 
[----------------------] 
-------------------------------------------------------------------------------- 
LSTM for VQA with text only 
-------------------------------------------------------------------------------- 
loading COCOQA datasets 
Remove determiner done.
num train = 78736 
num test  = 38948 
-------------------------------------------------------------------------------- 
model configuration 
-------------------------------------------------------------------------------- 
max epochs                = 50 
num params                = 186130 
num compositional params  = 121200 
word vector dim           = 50 
LSTM memory dim           = 150 
LSTM structure            = lstm 
LSTM layers               = 1 
regularization strength   = 1.00e-04 
minibatch size            = 1 
learning rate             = 5.00e-02 
word vector learning rate = 1.00e-01 
dropout                   = true 
cuda                      = true 
image feature dim         = [text only] 
-------------------------------------------------------------------------------- 
Training model 
-------------------------------------------------------------------------------- 
-- epoch 13
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 485.43s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.5154821174558, cost 470.02s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.38053301838349, cost 244.27s
-- epoch 14
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 489.48s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.52688731965048, cost 468.59s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.38315189483414, cost 231.61s
-- epoch 15
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 484.93s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.53665413533835, cost 468.39s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.3827154154257, cost 231.47s
-- epoch 16
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 487.99s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.54410942897785, cost 468.23s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.38389647735442, cost 231.39s
-- epoch 17
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 486.83s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.5503454582402, cost 468.43s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.3832289206121, cost 231.53s
-- epoch 18
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 486.35s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.55771184718553, cost 468.54s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.38577077128479, cost 231.55s
-- epoch 19
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 484.96s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.56629750050803, cost 468.79s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.3790181780836, cost 231.66s
-- epoch 20
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 486.09s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.57427352164194, cost 470.61s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38356269898326, cost 232.48s
-- epoch 21
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 487.46s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- train score: 0.57958240195082, cost 470.60s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38068706993941, cost 232.50s
-- epoch 22
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 487.56s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.58494208494208, cost 470.65s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38325459587142, cost 232.60s
-- epoch 23
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 487.58s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.59012395854501, cost 472.39s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38410187942898, cost 233.01s
-- epoch 24
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 487.81s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.59722363340784, cost 471.24s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38328027113074, cost 232.98s
-- epoch 25
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 487.69s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.60201178622231, cost 471.53s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.3827154154257, cost 233.00s
-- epoch 26
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 487.78s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.60462812436497, cost 472.10s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.38286946698162, cost 230.73s
-- epoch 27
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 483.46s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.61138488112172, cost 466.94s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38274109068502, cost 230.78s
-- epoch 28
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 483.81s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.61576661247714, cost 466.80s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.38286946698162, cost 230.72s
-- epoch 29
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 483.49s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.62050396260923, cost 466.88s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38307486905618, cost 230.73s
-- epoch 30
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 483.51s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.62783224954278, cost 466.92s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38127760090377, cost 230.76s
-- epoch 31
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 483.39s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.6294325340378, cost 466.72s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38389647735442, cost 230.73s
-- epoch 32
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 483.49s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.63452550294656, cost 466.91s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.38276676594434, cost 230.74s
-- epoch 33
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- finished epoch in 483.47s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.64181568786832, cost 466.86s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 6ms
-- test score: 0.38007086371572, cost 230.78s
-- epoch 34
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 6ms
-- finished epoch in 482.79s
 [=================== 78736/78736 =============>] ETA: 0ms | Step: 5ms
-- train score: 0.63571936598252, cost 466.96s
 [=================== 38948/38948 =============>] ETA: 0ms | Step: 5ms
-- test score: 0.37806819348875, cost 230.80s
-- epoch 35
